Year,brutto_insgesammt,Steinkohlen,Braunkohlen,Heizöl,Erdgas,Kernenergie,Erneuerbare_Energieträger,Sonstige_Energieträger,Gase,Abfälle,Dieselkraftstoffe,Wasserkraft
1955,8151   ,1257   ,788   ,.  ,.  ,0   ,.  ,.  ,.  ,.  ,2   ,6105   
1960,11067   ,2150   ,1875   ,28   ,.  ,0   ,.  ,.  ,83   ,.  ,1   ,6930   
1965,15437   ,3858   ,2463   ,722   ,.  ,118   ,.  ,.  ,377   ,68   ,1   ,7830   
1970,24997   ,5595   ,2658   ,4189   ,.  ,1961   ,.  ,.  ,1490   ,215   ,1   ,8888   
1971,26101   ,6786   ,2910   ,5505   ,.  ,2112   ,.  ,.  ,1743   ,241   ,1   ,6803   
1972,27624   ,6928   ,3771   ,6320   ,.  ,1820   ,.  ,.  ,2071   ,308   ,1   ,6404   
1973,30849   ,5980   ,4529   ,7754   ,.  ,1778   ,.  ,.  ,2775   ,309   ,2   ,7723   
1974,32699   ,6646   ,4657   ,6115   ,.  ,2027   ,.  ,.  ,3831   ,300   ,0   ,9122   
1975,32111   ,3394   ,6178   ,6740   ,.  ,1973   ,.  ,.  ,4929   ,308   ,0   ,8589   
1977,32971   ,4241   ,6152   ,7224   ,.  ,264   ,.  ,.  ,6014   ,342   ,1   ,8734   
1978,35848   ,5363   ,6399   ,5859   ,.  ,2524   ,.  ,.  ,6338   ,367   ,3   ,8996   
1979,37002   ,5263   ,5695   ,3940   ,.  ,5518   ,.  ,.  ,7087   ,398   ,5   ,9098   
1980,36020   ,6281   ,5914   ,4052   ,.  ,4484   ,.  ,.  ,5664   ,385   ,13   ,9227   
1981,34889   ,6721   ,6024   ,3274   ,.  ,4423   ,.  ,.  ,4406   ,379   ,19   ,9645   
1982,39101   ,6979   ,4685   ,3305   ,.  ,10403   ,.  ,.  ,3909   ,384   ,23   ,9414   
1983,41870   ,6036   ,5059   ,803   ,.  ,17506   ,.  ,.  ,2878   ,392   ,25   ,9171   
1984,49060   ,7517   ,4457   ,257   ,.  ,24023   ,.  ,.  ,3422   ,472   ,25   ,8887   
1985,58608   ,6311   ,4143   ,588   ,.  ,36415   ,.  ,.  ,2218   ,474   ,26   ,8433   
1986,56910   ,7351   ,3662   ,1296   ,.  ,33073   ,.  ,.  ,2116   ,477   ,28   ,8906   
